SR NO,MODEL NAME,Duration (Seconds),PRICE TO PAY,OVER CHARGE,USER COST ($),Column 6,Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (4120)
1,FLUX.1 Kontext [pro],Invalid,0.04,0.015,0.055,,110,,112.3636364,224.7272727,561.8181818,1797.818182,37.45454545
2,FLUX.1 Kontext [max],Invalid,0.08,0.015,0.095,,190,,65.05263158,130.1052632,325.2631579,1040.842105,21.68421053
3,FLUX 1.1 [pro] Ultra,Invalid,0.06,0.015,0.075,,150,,82.4,164.8,412,1318.4,27.46666667
4,FLUX 1.1 [pro],Invalid,0.04,0.015,0.055,,110,,112.3636364,224.7272727,561.8181818,1797.818182,37.45454545
5,FLUX.1 [dev],Invalid,0.03,0.015,0.045,,90,,137.3333333,274.6666667,686.6666667,2197.333333,45.77777778
6,FLUX.1 [pro],Invalid,0.05,0.015,0.065,,130,,95.07692308,190.1538462,475.3846154,1521.230769,31.69230769
7,Runway Gen 4 Image 720p,Invalid,0.05,0.015,0.065,,130,,95.07692308,190.1538462,475.3846154,1521.230769,31.69230769
8,Runway Gen 4 Image 1080p,Invalid,0.08,0.015,0.095,,190,,65.05263158,130.1052632,325.2631579,1040.842105,21.68421053
9,Runway Gen 4 Image Turbo,Invalid,0.02,0.015,0.035,,70,,176.5714286,353.1428571,882.8571429,2825.142857,58.85714286
10,Minimax Image-01,Invalid,0.0035,0.015,0.0185,,37,,334.0540541,668.1081081,1670.27027,5344.864865,111.3513514
11,Google nano banana (T2I),Invalid,0.039,0.015,0.054,,108,,114.4444444,228.8888889,572.2222222,1831.111111,38.14814815
12,Google nano banana (I2I),Invalid,0.039,0.015,0.054,,108,,114.4444444,228.8888889,572.2222222,1831.111111,38.14814815
13,Music 1.5 ,240,0.03,0.015,0.045,,90,,137.3333333,274.6666667,686.6666667,2197.333333,45.77777778
14,Minimax-Hailuo-02 512P ,6,0.1,0.06,0.16,,320,,38.625,77.25,193.125,618,12.875
15,Minimax-Hailuo-02 512P ,10,0.15,0.06,0.21,,420,,29.42857143,58.85714286,147.1428571,470.8571429,9.80952381
16,Minimax-Hailuo-02 768P ,6,0.28,0.06,0.34,,680,,18.17647059,36.35294118,90.88235294,290.8235294,6.058823529
17,Minimax-Hailuo-02 768P ,10,0.56,0.06,0.62,,1240,,9.967741935,19.93548387,49.83870968,159.483871,3.322580645
18,Minimax-Hailuo-02 1080P ,6,0.49,0.06,0.55,,1100,,11.23636364,22.47272727,56.18181818,179.7818182,3.745454545
19,T2V-01-Director ,Invalid,0.43,0.06,0.49,,980,,12.6122449,25.2244898,63.06122449,201.7959184,4.204081633
20,I2V-01-Director ,Invalid,0.43,0.06,0.49,,980,,12.6122449,25.2244898,63.06122449,201.7959184,4.204081633
21,S2V-01,Invalid,0.65,0.06,0.71,,1420,,8.704225352,17.4084507,43.52112676,139.2676056,2.901408451
22,veo3 t2v,4,1.6,0.06,1.66,,3320,,3.722891566,7.445783133,18.61445783,59.56626506,1.240963855
23,veo3 t2v,6,2.4,0.06,2.46,,4920,,2.512195122,5.024390244,12.56097561,40.19512195,0.837398374
24,veo3 t2v,8,3.2,0.06,3.26,,6520,,1.895705521,3.791411043,9.478527607,30.33128834,0.6319018405
25,veo3 i2v,8,3.2,0.06,3.26,,6520,,1.895705521,3.791411043,9.478527607,30.33128834,0.6319018405
26,veo3 fast t2v,4,0.6,0.06,0.66,,1320,,9.363636364,18.72727273,46.81818182,149.8181818,3.121212121
27,veo3 fast t2v,6,0.9,0.06,0.96,,1920,,6.4375,12.875,32.1875,103,2.145833333
28,veo3 fast t2v,8,1.2,0.06,1.26,,2520,,4.904761905,9.80952381,24.52380952,78.47619048,1.634920635
29,veo3 fast i2v,8,1.2,0.06,1.26,,2520,,4.904761905,9.80952381,24.52380952,78.47619048,1.634920635
30,RW veo3,8,3.2,0.06,3.26,,6520,,1.895705521,3.791411043,9.478527607,30.33128834,0.6319018405
31,Gen-4  Aleph ,10,1.5,0.06,1.56,,3120,,3.961538462,7.923076923,19.80769231,63.38461538,1.320512821
32,Gen-4  Turbo ,5,0.25,0.06,0.31,,620,,19.93548387,39.87096774,99.67741935,318.9677419,6.64516129
33,Gen-4  Turbo ,10,0.5,0.06,0.56,,1120,,11.03571429,22.07142857,55.17857143,176.5714286,3.678571429
34,Gen-3a Turbo ,5,0.25,0.06,0.31,,620,,19.93548387,39.87096774,99.67741935,318.9677419,6.64516129
35,Gen-3a Turbo ,10,0.5,0.06,0.56,,1120,,11.03571429,22.07142857,55.17857143,176.5714286,3.678571429
36,ChatGPT Prompt Enhancer (4o),Invalid,0.00875,0.00125,0.01,,1,,618,1236,3200,9888,206
