,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SR NO,MODEL NAME,Provider,Type,Duration (Seconds),Resolution (Upto),Aspect Ratio,PRICE TO PAY (per image),OVER CHARGE (per image),USER COST (per image),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (2000),Max Amount
1,MiniMax Image 01,Fal,T2I,Invalid,Invalid,,0.01,0.002,0.012,24,,515,1030,2575,8240,83.33333333,Images
2,FLUX.1 Kontext [pro],Black Forest Labs,,Invalid,,,0.04,0.01,0.05,100,,123.6,247.2,618,1977.6,20,
3,FLUX.1 Kontext [max],Black Forest Labs,,Invalid,,,0.08,0.01,0.09,180,,68.66666667,137.3333333,343.3333333,1098.666667,11.11111111,
4,FLUX 1.1 [pro] Ultra,Black Forest Labs,,Invalid,2K,,0.06,0.01,0.07,140,,88.28571429,176.5714286,441.4285714,1412.571429,14.28571429,
5,FLUX.1 Fill [pro],Black Forest Labs,Inpaint,Invalid,,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,
6,Imagen 4 Ultra,Google,T2I,Invalid,,,0.06,0.01,0.07,140,,88.28571429,176.5714286,441.4285714,1412.571429,14.28571429,
7,Imagen 4,Google,T2I,Invalid,,,0.04,0.01,0.05,100,,123.6,247.2,618,1977.6,20,
8,Imagen 4 Fast,Google,T2I,Invalid,,,0.02,0.002,0.022,44,,280.9090909,561.8181818,1404.545455,4494.545455,45.45454545,
9,Runway Gen 4 Image ,Runway API,,Invalid,720p,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,
10,Runway Gen 4 Image ,Runway API,,Invalid,1080p,,0.08,0.01,0.09,180,,68.66666667,137.3333333,343.3333333,1098.666667,11.11111111,
11,Runway Gen 4 Image Turbo,Runway API,,Invalid,,,0.02,0.002,0.022,44,,280.9090909,561.8181818,1404.545455,4494.545455,45.45454545,
12,Seedream 4,Replicate,T2I/I2I,Invalid,4K,,0.03,0.01,0.04,80,,154.5,309,772.5,2472,25,
13,Ideogram 3 Quality,Replicate,T2I,Invalid,,,0.09,0.01,0.1,200,,61.8,123.6,309,988.8,10,
14,Ideogram 3 Turbo,Replicate,T2I/I2I,Invalid,,,0.03,0.01,0.04,80,,154.5,309,772.5,2472,25,
15,Lucid Origin,Replicate,T2I,Invalid,,,0.0765,0.01,0.0865,173,,71.44508671,142.8901734,357.2254335,1143.121387,11.56069364,
16,Phoenix 1.0 Ultra,Replicate,T2I,Invalid,,,0.075,0.01,0.085,170,,72.70588235,145.4117647,363.5294118,1163.294118,11.76470588,
17,Nano banana ,Google,T2I/I2I,Invalid,,,0.039,0.01,0.049,98,,126.122449,252.244898,630.6122449,2017.959184,20.40816327,
18,Lucid Flux,Fal,Image Upscale (I2I),Invalid,720p,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,
19,Lucid Flux,Fal,Image Upscale (I2I),Invalid,1080p,,0.1,0.01,0.11,220,,56.18181818,112.3636364,280.9090909,898.9090909,9.090909091,
20,Lucid Flux,Fal,Image Upscale (I2I),Invalid,2K,,0.18,0.01,0.19,380,,32.52631579,65.05263158,162.6315789,520.4210526,5.263157895,
21,Lucid Flux,Fal,Image Upscale (I2I),Invalid,4K,,0.41,0.01,0.42,840,,14.71428571,29.42857143,73.57142857,235.4285714,2.380952381,
22,Qwen Image Edit Plus Lora,Fal,Image Edit/ Mix Board,Invalid,1080p,,0.035,0.01,0.045,90,,137.3333333,274.6666667,686.6666667,2197.333333,22.22222222,
23,Qwen Image Edit Plus Lora,Fal,Image Edit/ Mix Board,Invalid,1440p,,0.07,0.01,0.08,160,,77.25,154.5,386.25,1236,12.5,
24,Qwen Image Edit Plus Lora,Fal,Image Edit/ Mix Board,Invalid,2160p,,0.14,0.01,0.15,300,,41.2,82.4,206,659.2,6.666666667,
25,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,1080p,,0.1,0.01,0.11,220,,56.18181818,112.3636364,280.9090909,898.9090909,9.090909091,
26,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,1440p,,0.2,0.01,0.21,420,,29.42857143,58.85714286,147.1428571,470.8571429,4.761904762,
27,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,2160p,,0.4,0.01,0.41,820,,15.07317073,30.14634146,75.36585366,241.1707317,2.43902439,
28,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,6K,,0.8,0.01,0.81,1620,,7.62962963,15.25925926,38.14814815,122.0740741,1.234567901,
29,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,8K,,1.6,0.01,1.61,3220,,3.838509317,7.677018634,19.19254658,61.41614907,0.6211180124,
30,Crystal Upscaler,Replicate,Image Upscale (I2I),Invalid,12K,,3.2,0.01,3.21,6420,,1.925233645,3.85046729,9.626168224,30.80373832,0.3115264798,
31,Topaz,Fal,Image Upscale (I2I),Invalid,1080p,,0.05,0.01,0.06,120,,103,206,515,1648,16.66666667,
32,Topaz,Fal,Image Upscale (I2I),Invalid,1080p+,,0.1,0.01,0.11,220,,56.18181818,112.3636364,280.9090909,898.9090909,9.090909091,
33,Topaz,Fal,Image Upscale (I2I),Invalid,1440p,,0.15,0.01,0.16,320,,38.625,77.25,193.125,618,6.25,
